직무 단위,업무(기능) 단위,동사 키워드 정리,세부 동사 추출,AI 협업 강도,협업 강도 근거
호텔 직원 (All),AI 협업을 통한 신규 스킬·지식 습득 및 역량 개발,Disseminate,"  • 개발하다",Medium,"  • AI Capability: AI가 새로운 학습 기회와 발전 가능성을 제공하는 환경을 조성함.
  • 인간 Capability: 직원이 새로운 기술과 지식을 습득하고 이를 업무에 통합·적용하는 주체가 됨. (p.278)"
호텔 직원 (All),반복적·시간소모적 루틴 업무 자동화,Operate,,High,AI가 반복적이고 시간이 걸리는 업무를 자동화하여 업무 효율을 높이고 직원의 업무 부담을 줄임. AI 주도로 처리되며 인간 개입 필요성이 낮음. (p.277)
호텔 직원 (Housekeeping),객실 청결도 모니터링 · 수작업 점검 · 유지보수 감지 및 커뮤니케이션 처리,Operate,"  • 모니터링하다
  • 점검하다",High,"AI가 객실 청결 상태를 자동으로 감지하고 유지보수 필요 여부를 파악하며, 기존에 인간이 수행하던 수작업 점검과 커뮤니케이션 업무를 대체함. 인력 투입이 대폭 감소하므로 인간의 부가가치가 낮음. (p.277)"
호텔 직원 (Guest Service),복잡한 고객 응대 의사결정 및 창의적 업무 수행,Decide,"  • 의사결정하다",Low,"AI 지원을 받더라도 복잡한 판단·창의성이 요구되는 업무는 인간이 직접 수행해야 하며, 최종 책임도 인간에게 귀속됨. 인간의 고유 역량과 책임성이 높은 영역. (p.278)"
호텔 직원 (Guest Service),"고객 맞춤 서비스를 위한 데이터 분석 ",Analyze,,Medium,"  • AI Capability: AI가 더 많은 데이터를 분석하고 정확한 결론을 도출하는 것을 지원함. 
  • 인간 Capability: 직원은 AI의 분석 결과를 바탕으로 고객 응대 방향을 판단하고 적용하는 역할을 수행함. (p.278)"
행정 직원,민원 처리 요청 접수 및 실시간 처리 현황 업데이트,Collect / Operate,,High,"AI 툴이 처리 시간을 단축하고 실시간 업데이트를 제공하며 반복적 행정 업무를 자동화함. 인간의 직접 개입이 최소화되는 루틴 영역. (p.269, p.287 Appendix PT항목)"
행정 직원,직원 AI 역량 교육 및 조직 내 AI 수용 촉진,Interact,"  • 교육하다
  • 수용하다",Low,"AI 도입에 대한 저항 감소, 직원 교육 설계, 조직문화 조성은 인간 관리자의 리더십과 판단이 핵심. 관계 기반·맥락 기반 업무로 AI 역량이 낮은 영역. (p.282)"
행정 직원,AI 도입 전략 수립 및 윤리적 거버넌스 관리,Govern,"  • 관리하다",Low,"AI 도입의 방향성, 문화적 맥락 고려, 편향·프라이버시 등 윤리적 이슈 대응은 인간 관리자의 판단이 필수. AI는 효율성을 지원하지만 거버넌스 결정은 인간 주도. (p.281, p.270)"
행정 직원,서비스 품질 보장 및 이용자 요구 대응,Govern,"  • 보장하다
  • 대응하다",Medium,"  • AI Capability: AI가 서비스 정확성과 신뢰성을 보장하고 변화하는 수요에 신속히 대응함. 
  • 인간 Capability: 공정성·투명성·책임성 확보는 인간의 윤리적 판단이 필수적이며, 자동화만으로 대체 불가. 
  • 책임감: AI 오류 시 최종 책임은 인간 행정가에게 귀속됨. (p.270, p.272 OPR 측정 항목)"
행정 직원,조직 자원 배분 및 업무 성과 최적화,Disseminate,"  • 배분하다",Medium,"• AI Capability: AI가 조직 강점을 활용하여 자원을 효율적으로 배분하고 성과를 분석함. 
 • 인간 Capability: 자원 배분의 우선순위와 형평성 판단은 인간의 맥락 이해가 필요하며, 전략적 정렬은 인간이 수행. (p.268, p.272 RU 측정 항목)"
